manufacturer,model,resistance_ohm,inductance_H,holding_torque_Nm,max_current_A,steps_per_rev,source
LDO Motors,ldo-36sth17-1004ahg,10.0,0.006,0.10,1.0,200,motor_database.cfg
LDO Motors,ldo-36sth20-1004ahg-9T,2.4,0.0014,0.10,1.0,200,motor_database.cfg
LDO Motors,ldo-36sth20-0804ah(s22),1.85,0.00105,0.08,0.8,200,motor_database.cfg
LDO Motors,ldo-36sth20-1004ahg,2.1,0.0016,0.10,1.0,200,motor_database.cfg
LDO Motors,ldo-36sth20-1004ahg-xh,2.6,0.0018,0.095,1.0,200,motor_database.cfg
LDO Motors,ldo-35sth52-1504ah,2.8,0.0038,0.37,1.5,200,motor_database.cfg
LDO Motors,ldo-35sth52-2004ah(S35),1.34,0.0021,0.4,2.0,200,motor_database.cfg
LDO Motors,ldo-35sth48-1684ah,1.65,0.0028,0.4,1.68,200,motor_database.cfg
LDO Motors,ldo-35sth42-0504ah,13.5,0.016,0.165,0.5,200,motor_database.cfg
LDO Motors,ldo-36sth17-0354ahg,10.8,0.006,0.06,0.35,200,motor_database.cfg
Fysetc,fysetc-g36hsy4405-6d-1200,2.4,0.0017,0.11,1.0,200,motor_database.cfg
LDO Motors,ldo-42sth40-1684cl350et,1.65,0.0041,0.45,1.68,200,motor_database.cfg
LDO Motors,ldo-42sth40-1684ac,1.65,0.0036,0.45,1.68,200,motor_database.cfg
LDO Motors,ldo-42sth40-1684mac,1.65,0.0032,0.33,1.68,400,motor_database.cfg
LDO Motors,ldo-42sth40-2004mah,1.1,0.0028,0.35,2.0,400,motor_database.cfg
LDO Motors,ldo-42sth48-1684ac,1.65,0.0028,0.50,1.68,200,motor_database.cfg
LDO Motors,ldo-42sth48-1684mah,1.65,0.0028,0.40,1.68,400,motor_database.cfg
LDO Motors,ldo-42sth48-2804ah,0.7,0.0006,0.42,2.8,200,motor_database.cfg
LDO Motors,ldo-42sth48-2504ac,1.2,0.0015,0.55,2.5,200,motor_database.cfg
LDO Motors,ldo-42sth48-2504macf,1.2,0.0015,0.45,2.5,400,motor_database.cfg
LDO Motors,ldo-42sth48-2004ac,1.6,0.003,0.59,2.0,200,motor_database.cfg
LDO Motors,ldo-42sth48-2004mah,1.4,0.002,0.44,2.0,400,motor_database.cfg
LDO Motors,ldo-42sth40-1004a,6.5,0.013,0.49,1,200,motor_database.cfg
LDO Motors,ldo-42sth34-1334ac,2.0,0.0034,0.22,1.33,200,motor_database.cfg
LDO Motors,ldo-42sth34-1504mac,1.5,0.003,0.2,1.5,400,motor_database.cfg
LDO Motors,ldo-42sth34-1004l321e,8.00,0.0095,107.7,1.00,200,motor_database.cfg
LDO Motors,ldo-42sth34-1004l321e(prusa-z),8,0.0095,0.59,1.0,200,motor_database.cfg
LDO Motors,ldo-42sth40-1004mah,4.1,0.0115,0.39,1,400,motor_database.cfg
LDO Motors,ldo-42sth20-1004ash,7.2,0.007,0.18,1,200,motor_database.cfg
LDO Motors,ldo-42sth20-1004mah,7.2,0.0122,0.16,1,400,motor_database.cfg
LDO Motors,ldo-42sth25-1004cl200et,5.5,0.007,0.24,1,200,motor_database.cfg
LDO Motors,ldo-42sth25-1404mac,2.4,0.0055,0.20,1.4,400,motor_database.cfg
LDO Motors,ldo-42sth25-1004acg,5.5,0.007,0.20,1,200,motor_database.cfg
LDO Motors,ldo-42sth60-2004ac,2.1,0.0041,0.85,2,200,motor_database.cfg
LDO Motors,ldo-42sth60-2004mac,1.4,0.003,0.6,2,400,motor_database.cfg
LDO Motors,ldo-42sth60-2004mah,1.4,0.0030,0.6,2,400,motor_database.cfg
LDO Motors,ldo-42sth25-1404ac,2.4,0.0055,0.23,1.4,200,motor_database.cfg
LDO Motors,ldo-42sth25-1404mah,2.4,0.0055,0.18,1.4,400,motor_database.cfg
LDO Motors,ldo-42sth48-2004mac(s46),1.4,0.0028,0.49,2.0,400,motor_database.cfg
LDO Motors,ldo-42sth47-1684a,1.65,0.0028,0.50,1.68,200,motor_database.cfg
MOONS,moons-ms14hs5p4200,1.34,0.0021,0.4,2.0,200,motor_database.cfg
MOONS,moons-ms14hs5p4150,2.2,0.0036,0.4,1.5,200,motor_database.cfg
MOONS,moons-cse14hra1l410a,1.9,0.00141,0.1,1.0,200,motor_database.cfg
MOONS,moons-cse14hra2l410a,3.6,0.0038,0.19,1.0,200,motor_database.cfg
MOONS,moons-ms17hdbp4200,1.49,0.0038,0.83,2.0,200,motor_database.cfg
MOONS,moons-ms17hd2p4150,1.98,0.0043,0.50,1.50,200,motor_database.cfg
MOONS,moons-ms17hd6p4200,1.3,0.0029,0.63,2.0,200,motor_database.cfg
MOONS,moons-ms17hd6p4150,2.2,0.0049,0.62,1.5,200,motor_database.cfg
MOONS,moons-le174s-t0804-300-ar3-s-150,1.75,0.0028,0.29,1.5,200,motor_database.cfg
MOONS,moons-le174s-t0808-200-ar3-s-065,8.7,0.0152,0.054,0.65,200,motor_database.cfg
MOONS,moons-le172s-t0804-300-cn-01-200,1.04,0.0025,0.48,2.00,200,motor_database.cfg
MOONS,moons-ms17hd6p420i,1.3,0.0027,0.67,2.0,200,motor_database.cfg
MOONS,moons-c17hd2024n-01n,4.1,0.0085,0.39,1.0,200,motor_database.cfg
MOONS,moons-ml23hs8l4550-20,0.28,0.00103,1.5,5.5,200,motor_database.cfg
MOONS,moons-ml23hs0l4350-000,0.56,0.0013,0.82,3.5,200,motor_database.cfg
OMC (StepperOnline),omc-14hs20-1504s-c19,2.0,0.0028,0.4,1.5,200,motor_database.cfg
OMC (StepperOnline),omc-14hs20-1504s,2.8,0.0038,0.4,1.5,200,motor_database.cfg
OMC (StepperOnline),omc-14hs11-1004s,3.5,0.0035,0.125,1.0,200,motor_database.cfg
OMC (StepperOnline),omc-14hr07-1004vrn,3.9,0.002,0.09,1.00,400,motor_database.cfg
OMC (StepperOnline),omc-14hs17-0504s,15.00,0.026,0.23,0.50,200,motor_database.cfg
OMC (StepperOnline),omc-14hs10-0404s,30.00,0.030,0.140,0.40,200,motor_database.cfg
OMC (StepperOnline),omc-14re08-1004s-h,2.1,0.0011,0.1,1.00,200,motor_database.cfg
OMC (StepperOnline),omc-17he24-2104s,1.7,0.0031,0.60,2.1,200,motor_database.cfg
OMC (StepperOnline),omc-17he08-1004s,3.6,0.004,0.17,1.00,200,motor_database.cfg
OMC (StepperOnline),omc-17he12-1204s,2.5,0.0033,0.26,1.20,200,motor_database.cfg
OMC (StepperOnline),omc-17he19-2004s,1.3,0.0024,0.55,2.0,200,motor_database.cfg
OMC (StepperOnline),omc-17he15-1504s,2.3,0.004,0.42,1.50,200,motor_database.cfg
OMC (StepperOnline),omc-17hs15-1504s,2.30,0.0044,0.45,1.50,200,motor_database.cfg
OMC (StepperOnline),omc-17hs15-1584s-mg10,1.65,0.0032,0.36,1.58,200,motor_database.cfg
OMC (StepperOnline),omc-17hm08-1204S,3.0,0.0022,0.11,1.2,400,motor_database.cfg
OMC (StepperOnline),omc-17hm19-1684S,1.65,0.0041,0.44,1.68,400,motor_database.cfg
OMC (StepperOnline),omc-17hm19-2004s,1.45,0.004,0.46,2.0,400,motor_database.cfg
OMC (StepperOnline),omc-17hs19-2504s-h,1.1,0.0016,0.55,2.5,200,motor_database.cfg
OMC (StepperOnline),omc-17hs24-2104s,1.6,0.003,0.65,2.1,200,motor_database.cfg
OMC (StepperOnline),omc-17hs16-2004s1,1.1,0.0026,0.45,2,200,motor_database.cfg
OMC (StepperOnline),omc-17hs19-2004s1-h,1.5,0.0030,0.59,2.00,200,motor_database.cfg
OMC (StepperOnline),omc-17hs19-2004s1,1.4,0.003,0.59,2,200,motor_database.cfg
OMC (StepperOnline),omc-17hs08-1004s,3.70,0.0045,0.16,1.00,200,motor_database.cfg
OMC (StepperOnline),omc-17me15-1504s,2.0,0.0052,0.30,1.50,400,motor_database.cfg
OMC (StepperOnline),23hs30-2804s-sg30,1.13,0.0054,1.89,2.8,200,motor_database.cfg
Trinamic,tmc-qsh4218-35-10-027,5.30,0.0066,0.27,1.00,200,motor_database.cfg
Trinamic,tmc-qsh4218-41-10-035,4.50,0.0075,0.35,1.00,200,motor_database.cfg
Trinamic,tmc-qsh4218-51-10-049,5.00,0.008,0.49,1.00,200,motor_database.cfg
Trinamic,tmc-qsh4218-47-28-040,0.50,0.0006,0.40,2.80,200,motor_database.cfg
Fysetc,fysetc-g36hsy4407-6d-1200a,13,0.01,0.12,0.5,200,motor_database.cfg
Fysetc,fysetc-35hsh7402-24b-60a,2.8,0.0055,0.42,1.5,200,motor_database.cfg
Fysetc,fysetc-42hsc1433b-200n8,8,0.01,0.35,1,200,motor_database.cfg
Fysetc,fysetc-42hsc1404b-200n8,29,0.0038,0.32,0.4,200,motor_database.cfg
Fysetc,TB-3544,1.8,0.0038,0.50,1.5,200,motor_database.cfg
Fysetc,fysetc-17HS19-2004S-C,1.4,0.003,0.59,2.0,200,motor_database.cfg
Fysetc,fysetc-17HS19-2004S-AB,1.3,0.0027,0.67,2.0,200,motor_database.cfg
Fysetc,fysetc-42HC40-204A-300N84,1.1,0.0026,0.45,2.0,200,motor_database.cfg
Fysetc,fysetc-17D2201Z-22B-500,6.5,0.013,0.49,1.0,200,motor_database.cfg
DamenCNC,damencnc-dcnc-nema23-2.0nm,1.0,0.0035,1.8,3.0,200,motor_database.cfg
DFH,dfh-14mcrn-1848,2.8,0.0055,0.42,1.5,200,motor_database.cfg
DFH,dfh-14mcrn-1815,13.0,0.0010,0.12,0.5,200,motor_database.cfg
Zyltech,zyltech-17hd48002h-22b,1.8,0.0038,0.59,1.7,200,motor_database.cfg
Siboor,siboor-14sth20-1004a,1.70,0.0015,0.12,1.88,200,motor_database.cfg
